60,Men,Givans,Senoj-Jay,Texas,6.59,6.57,3,https://www.tfrrs.org/athletes/4672791/Texas/Givans_Senoj-Jay
60,Men,Smith,Xavier,Penn State,6.66,6.66,20,https://www.tfrrs.org/athletes/5109712/Penn_State/Smith_Xavier
60,Men,Charleston,Cravont,North Carolina St.,6.66,6.66,20,https://www.tfrrs.org/athletes/6087532/North_Carolina_St./Charleston_Cravont
60,Men,Clarke,Edward,Florida State,6.74,6.69,67,https://www.tfrrs.org/athletes/5639556/Florida_State/Clarke_Edward
60,Men,Givens,Malik,Oklahoma State,6.70,6.70,37,https://www.tfrrs.org/athletes/5608258/Oklahoma_State/Givens_Malik
60,Men,Thymes,Just'N,USC,6.67,6.67,26,https://www.tfrrs.org/athletes/5159027/USC/Thymes_Just'N
60,Men,Gray,Nick,Ohio State,6.73,6.71,57,https://www.tfrrs.org/athletes/5636644/Ohio_State/Gray_Nick
60,Men,Powell,Leon,UCLA,6.72,6.68,49,https://www.tfrrs.org/athletes/5151677/UCLA/Powell_Leon
60,Men,Acy,Tremayne,LSU,6.67,6.63,26,https://www.tfrrs.org/athletes/4674045/LSU/Acy_Tremayne
60,Women,Martin,Jada,LSU,7.26,7.26,11,https://www.tfrrs.org/athletes/4674028/LSU/Martin_Jada
60,Women,Brown,Aaliyah,Texas A&M,7.36,7.28,41,https://www.tfrrs.org/athletes/4638020/Texas_A&M/Brown_Aaliyah
60,Women,Washington,Ariana,Oregon,7.25,7.20,10,https://www.tfrrs.org/athletes/5113695/Oregon/Washington_Ariana
60,Women,Johnson,Kortnei,LSU,7.24,7.21,9,https://www.tfrrs.org/athletes/5637118/LSU/Johnson_Kortnei
60,Women,Bellamy,J'Nea,UCF,7.34,7.33,37,https://www.tfrrs.org/athletes/4674611/UCF/Bellamy_J'Nea 
60,Women,Charlton,Devynne,Purdue,7.26,7.26,11,https://www.tfrrs.org/athletes/4636896/Purdue/Charlton_Devynne
60,Women,Auzenne,Micha,San Diego St.,7.31,7.31,34,https://www.tfrrs.org/athletes/5104430/San_Diego_St./Auzenne_Micha
60,Women,Bouyer,Kennadi,Washington,7.28,7.27,20,https://www.tfrrs.org/athletes/5162026/Washington/Bouyer_Kennadi
60,Women,Collins,Shania,Tennessee,7.35,7.35,38,https://www.tfrrs.org/athletes/6077764/Tennessee/Collins_Shania
60,Women,Harvey,Rushell,LSU,7.39,7.32,53,https://www.tfrrs.org/athletes/4674012/LSU/Harvey_Rushell
60,Women,Brown,Carolyn,Miami,7.42,7.42,70,https://www.tfrrs.org/athletes/5641984/Miami/Brown_Carolyn
60,Women,Carter ,Destiny,Kentucky,7.30,7.30,24,https://www.tfrrs.org/athletes/5602986/Kentucky/Carter _Destiny
60,Women,Barnes,Celera,UCLA,7.36,7.34,41,https://www.tfrrs.org/athletes/6141718/UCLA/Barnes_Celera 
60,Women,Cunningham,Gabriele,North Carolina St.,7.39,7.39,53,https://www.tfrrs.org/athletes/5591167/North_Carolina_St./Cunningham_Gabriele
60,Women,Helps,Shauna,Florida State,7.37,7.37,45,https://www.tfrrs.org/athletes/5640133/Florida_State/Helps_Shauna 
60,Women,Brown,Brittany,Iowa,7.39,7.39,53,https://www.tfrrs.org/athletes/4671139/Iowa/Brown_Brittany
60,Women,Thompson,Brenessa,Texas A&M,7.37,7.37,45,https://www.tfrrs.org/athletes/5610196/Texas_A&M/Thompson_Brenessa
60,Women,Henderson,Ashley,San Diego St.,7.17,7.17,4,https://www.tfrrs.org/athletes/5104436/San_Diego_St./Henderson_Ashley
60,Women,Burks,Quanesha,Alabama,7.27,7.21,16,https://www.tfrrs.org/athletes/4638071/Alabama/Burks_Quanesha
60,Women,Robinson,Torie,Clemson,7.27,7.27,16,https://www.tfrrs.org/athletes/5151794/Clemson/Robinson_Torie
60,Women,Buchanan,Leya,Oklahoma,7.32,7.32,32,https://www.tfrrs.org/athletes/5127541/Oklahoma/Buchanan_Leya
60,Women,Hall,Cassondra,LSU,7.26,7.26,11,https://www.tfrrs.org/athletes/6099521/LSU/Hall_Cassondra
60,Women,Stevens,Deajah,Oregon,7.23,7.17,8,https://www.tfrrs.org/athletes/5640215/Oregon/Stevens_Deajah
60,Women,Brisco,Mikiah,LSU,7.19,7.17,4,https://www.tfrrs.org/athletes/5122060/LSU/Brisco_Mikiah
60,Women,Gray,Kianna,Kentucky,7.26,7.26,11,https://www.tfrrs.org/athletes/5602989/Kentucky/Gray_Kianna
60,Women,Ivy,Amber,Texas A&M,7.31,7.31,27,https://www.tfrrs.org/athletes/6105165/Texas_A&M/Ivy_Amber
60,Women,Davis,Jerayah,Wyoming,7.25,7.25,16,https://www.tfrrs.org/athletes/5604390/Wyoming/Davis_Jerayah
60,Women,Bennett,Taylor,Baylor,7.33,7.30,34,https://www.tfrrs.org/athletes/5639691/Baylor/Bennett_Taylor
60,Women,Morrison,Ebony,Miami,7.41,7.41,64,https://www.tfrrs.org/athletes/5641993/Miami/Morrison_Ebony
60,Women,Smith,Rebekah,Clemson,7.31,7.31,27,https://www.tfrrs.org/athletes/6133564/Clemson/Smith_Rebekah
60,Women,White,Kayla,N. Carolina A&T,7.42,7.42,70,https://www.tfrrs.org/athletes/5588415/N._Carolina_A&T/White_Kayla
60,Women,Cunliffe,Hannah,Oregon,7.07,7.07,1,https://www.tfrrs.org/athletes/5640210/Oregon/Cunliffe_Hannah
60,Women,Hobbs,Aleia,LSU,7.18,7.18,2,https://www.tfrrs.org/athletes/5122093/LSU/Hobbs_Aleia
60,Women,Cody,Maya,Missouri,7.39,7.39,53,https://www.tfrrs.org/athletes/5639608/Missouri/Cody_Maya
60,Women,Njadoe,Wurrie,Kansas State,7.41,7.41,64,https://www.tfrrs.org/athletes/6088032/Kansas_State/Njadoe_Wurrie
60,Women,Jackson,LaQuisha,Missouri,7.40,7.31,59,https://www.tfrrs.org/athletes/5146700/Missouri/Jackson_LaQuisha
60,Women,Smith,Jonielle,Auburn,7.31,7.31,27,https://www.tfrrs.org/athletes/5122710/Auburn/Smith_Jonielle
60,Women,Misher,Rachel,LSU,7.38,7.38,48,https://www.tfrrs.org/athletes/5637120/LSU/Misher_Rachel
60,Women,Ricketts,Ranee,Clemson,7.36,7.36,41,https://www.tfrrs.org/athletes/5640839/Clemson/Ricketts_Ranee
60,Women,Westbrook,Ky,USC,7.30,7.18,24,https://www.tfrrs.org/athletes/5095589/USC/Westbrook_Ky
60,Women,Anderson,Taylor,Connecticut,7.41,7.40,64,https://www.tfrrs.org/athletes/4671081/Connecticut/Anderson_Taylor
60,Women,Daniels,Teahna,Texas,7.21,7.11,6,https://www.tfrrs.org/athletes/5637432/Texas/Daniels_Teahna
60,Women,Carson,Savannah,Purdue,7.39,7.32,53,https://www.tfrrs.org/athletes/4636895/Purdue/Carson_Savannah
60,Women,Pipi,Ama,Oklahoma,7.38,7.38,48,https://www.tfrrs.org/athletes/5127544/Oklahoma/Pipi_Ama
60,Women,Oliver,Javianne,Kentucky,7.18,7.14,2,https://www.tfrrs.org/athletes/5116168/Kentucky/Oliver_Javianne
60,Women,McCoy,Maia,Tennessee,7.40,7.39,59,https://www.tfrrs.org/athletes/5602895/Tennessee/McCoy_Maia
60,Women,Bracey,Sekayi,Purdue,7.41,7.41,64,https://www.tfrrs.org/athletes/6103926/Purdue/Bracey_Sekayi
60,Women,Hadley,Sabria,Clemson,7.35,7.35,38,https://www.tfrrs.org/athletes/4646831/Clemson/Hadley_Sabria
60,Women,Smith-Barnett,Destiny,UNLV,7.20,7.20,7,https://www.tfrrs.org/athletes/5123319/UNLV/Smith-Barnett_Destiny
60,Women,Albury,Keianna,Penn State,7.32,7.32,32,https://www.tfrrs.org/athletes/5611974/Penn_State/Albury_Keianna
60,Women,Hill,Deanna,USC,7.26,7.26,11,https://www.tfrrs.org/athletes/5095587/USC/Hill_Deanna
60,Women,Larch-Miller,Nikki,Wichita State,7.38,7.38,48,https://www.tfrrs.org/athletes/4166533/Wichita_State/Larch-Miller_Nikki
60,Women,Williams ,Alissa,UCF,7.40,7.40,59,https://www.tfrrs.org/athletes/5647699/UCF/Williams _Alissa
60,Women,Henderson, Nicole,Ole Miss,7.40,7.40,59,https://www.tfrrs.org/athletes/5107501/Ole_Miss/Henderson_Nicole
60,Women,Knott,Kristina,Miami,7.31,7.31,27,https://www.tfrrs.org/athletes/6132215/Miami/Knott_Kristina
60,Women,Collins,Angelica,Clemson,7.29,7.29,22,https://www.tfrrs.org/athletes/6133565/Clemson/Collins_Angelica
60,Women,Hall,Kate,Georgia,7.28,7.28,20,https://www.tfrrs.org/athletes/6121327/Georgia/Hall_Kate
60,Women,Cox,Carmiesha,Purdue,7.35,7.35,38,https://www.tfrrs.org/athletes/4684512/Purdue/Cox_Carmiesha
60,Women,Conley,Sydney,Kansas,7.42,7.42,70,https://www.tfrrs.org/athletes/4175356/Kansas/Conley_Sydney
60,Women,Baldwin,Jacquelyn,Jacksonville,7.38,7.38,48,https://www.tfrrs.org/athletes/5631275/Jacksonville/Baldwin_Jacquelyn
60,Women,Sellers,Kadejhia,Syracuse,7.37,7.37,45,https://www.tfrrs.org/athletes/5597181/Syracuse/Sellers_Kadejhia
60,Women,Clerveaux,Vanessa,Alabama,7.42,7.42,70,https://www.tfrrs.org/athletes/4638072/Alabama/Clerveaux_Vanessa
60,Women,Dunmore,Makenzie,Oregon,7.25,7.25,16,https://www.tfrrs.org/athletes/6101003/Oregon/Dunmore_Makenzie
60,Women,Parker,Kiara,Arkansas,7.36,7.36,41,https://www.tfrrs.org/athletes/5637289/Arkansas/Parker_Kiara 
60,Women,McClendon,Ebony,Wisconsin,7.41,7.41,64,https://www.tfrrs.org/athletes/5126759/Wisconsin/McClendon_Ebony
60,Women,Thomas,Gabrielle,Harvard,7.29,7.29,22,https://www.tfrrs.org/athletes/5588173/Harvard/Thomas_Gabrielle
60,Women,Williamson,Trudy-Ann,Villanova,7.41,7.41,64,https://www.tfrrs.org/athletes/6086451/Villanova/Williamson_Trudy-Ann
60,Women,Grant,Raven,Louisville,7.38,7.38,48,https://www.tfrrs.org/athletes/5592745/Louisville/Grant_Raven
